scenario,detector,model,runs,alerts,precision,recall,f1,specificity,false_positive_rate,avg_detection_latency_ms,temporal_overlap,event_precision,event_recall,participant_precision,participant_recall,order_precision,order_recall,early_detections,on_time_detections,late_detections,missed_detections,phase_detection
layering_like,built-in detector suite,none (deterministic),40,37,1.0,0.925,0.961,,,1175.68,0.7166,1.0,0.4062,0.2701,0.925,1.0,0.925,0,37,0,3,"{""armed"": 0.0, ""done"": 0.0, ""incident_confirmed"": 0.0, ""pressure_phase"": 0.925, ""wall_cancelled"": 0.0, ""wall_placed"": 0.825}"
liquidity_evaporation,built-in detector suite,none (deterministic),40,0,,0.0,0.0,,,,0.0,,0.0,,0.0,,,0,0,0,40,"{""armed"": 0.0, ""done"": 0.0, ""incident_confirmed"": 0.0, ""pressure_phase"": 0.0, ""wall_cancelled"": 0.0, ""wall_placed"": 0.0}"
normal_market,built-in detector suite,none (deterministic),40,0,,,,1.0,0.0,,,,,,,,,0,0,0,0,{}
quote_stuffing,built-in detector suite,none (deterministic),40,40,1.0,1.0,1.0,,,2000.0,0.5,,0.0,,0.0,,,0,40,0,0,"{""armed"": 0.0, ""done"": 0.0, ""incident_confirmed"": 0.0, ""pressure_phase"": 1.0, ""wall_cancelled"": 0.0, ""wall_placed"": 0.0}"
spoofing_like_wall,built-in detector suite,none (deterministic),40,40,1.0,1.0,1.0,,,1075.0,0.8083,1.0,0.3083,0.2929,1.0,1.0,1.0,0,40,0,0,"{""armed"": 0.0, ""done"": 0.0, ""incident_confirmed"": 0.0, ""pressure_phase"": 1.0, ""wall_cancelled"": 0.0, ""wall_placed"": 1.0}"
