scenario,detector,model,runs,alerts,precision,recall,f1,specificity,false_positive_rate,avg_detection_latency_ms,temporal_overlap,event_precision,event_recall,participant_precision,participant_recall,order_precision,order_recall,early_detections,on_time_detections,late_detections,missed_detections,phase_detection
layering_like,built-in detector suite,none (deterministic),20,20,1.0,1.0,1.0,,,1125.0,0.7583,1.0,0.4125,0.2654,0.95,1.0,0.95,0,20,0,0,"{""armed"": 0.0, ""done"": 0.0, ""incident_confirmed"": 0.0, ""pressure_phase"": 0.95, ""wall_cancelled"": 0.0, ""wall_placed"": 1.0}"
liquidity_evaporation,built-in detector suite,none (deterministic),20,0,,0.0,0.0,,,,0.0,,0.0,,0.0,,,0,0,0,20,"{""armed"": 0.0, ""done"": 0.0, ""incident_confirmed"": 0.0, ""pressure_phase"": 0.0, ""wall_cancelled"": 0.0, ""wall_placed"": 0.0}"
normal_market,built-in detector suite,none (deterministic),20,0,,,,1.0,0.0,,,,,,,,,0,0,0,0,{}
quote_stuffing,built-in detector suite,none (deterministic),20,20,1.0,1.0,1.0,,,2000.0,0.5,,0.0,,0.0,,,0,20,0,0,"{""armed"": 0.0, ""done"": 0.0, ""incident_confirmed"": 0.0, ""pressure_phase"": 1.0, ""wall_cancelled"": 0.0, ""wall_placed"": 0.0}"
spoofing_like_wall,built-in detector suite,none (deterministic),20,20,1.0,1.0,1.0,,,1050.0,0.8166,1.0,0.3166,0.2733,1.0,1.0,1.0,0,20,0,0,"{""armed"": 0.0, ""done"": 0.0, ""incident_confirmed"": 0.0, ""pressure_phase"": 1.0, ""wall_cancelled"": 0.0, ""wall_placed"": 1.0}"
